payment_date,client_description,amount_brl,status,observations,_source_file,_load_timestamp
2026-03-27,da Costa S.A.,2805209982317467.0,CANCELADO,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-10,Marques,2515259597904946.0,PAGO,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
,Castro,1680.47,PENDENTE,Iusto nobis.,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-23,Mendonça,3370752372179662.0,PENDENTE,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-16,Nunes - EI,2881142636031059.0,CANCELADO,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-17,Cassiano,1478379310345078.0,PAGO,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-15,Lima e Filhos,3030771754493938.0,PENDENTE,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-14,Lima,3103651717364043.0,PENDENTE,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
,da Conceição,,PAGO,Explicabo quod.,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-19,Almeida Andrade - ME,4219011710392019.0,PENDENTE,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-12,Castro Fonseca S.A.,3859273595725343.0,CANCELADO,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
,Ribeiro S.A.,2150.59,PAGO,Exercitationem.,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-09,Azevedo Aparecida S/A,3210162177685981.0,CANCELADO,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-28,da Paz Campos - ME,3375819165298943.0,PENDENTE,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
,Cirino S/A,,PAGO,Maxime nulla.,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-18,Lopes S.A.,427154927295282.0,PENDENTE,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-15,Lima Viana Ltda.,3205321844114985.0,PAGO,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-06,Souza Pimenta Ltda.,4276592195670153.0,PAGO,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-18,Rezende,4605347012220571.0,CANCELADO,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
2026-03-24,Ribeiro,2121352075874207.0,PENDENTE,,base_wagner_v0_final.xlsx,2026-04-04 01:07:59.085022
